DATE,DVD_SH_12M,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,IQ_DIV_SHARE,IQ_TOTAL_REV,IQ_OPER_INC,IQ_EARNING_CO,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_BASIC_EPS_EXCL,IQ_DILUT_EPS_EXCL,IQ_DILUT_EPS_NORM,IQ_CASH_EQUIV,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_BV_SHARE,IQ_TBV,IQ_TOTAL_DEBT,IQ_CASH_OPER,IQ_CAPEX,IQ_CF_SHARE,IQ_RETURN_ASSETS,IQ_RETURN_CAPITAL,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_CURRENT_RATIO,IQ_TOTAL_DEBT_CAPITAL
12/30/2005,6.0133,3.74,-12.78,5.62564,217.64288,28.61228,17.07203,17.37181,38.14837,27.40501,16.98337,16.63546,16.52639,106.53165,908.63045,2520.65479,1157.58809,1971.85514,452.27856,235.04073,793.4139,26.47249,-10.861,14.4163,2.7143,12.7029,14.7568,27.2114,0.78493,62.9376
3/31/2006,5.9883,4.4,-13.25,5.69937,216.83087,31.13695,20.20367,19.86887,39.14388,28.62201,20.17268,19.79948,18.42376,101.74532,1002.78878,2586.20492,1189.14898,2026.88733,463.31776,238.46516,751.35487,21.23941,-11.01085,9.27222,2.8452,12.8875,17.1598,28.5876,0.84328,61.1012
6/30/2006,6.1378,4.78,-16.02,5.82962,221.66497,33.69359,20.75355,20.53491,42.10303,31.34943,20.66357,20.28254,20.09885,101.35917,1019.17506,2657.52265,1227.90556,2093.9159,471.61959,243.62581,757.22724,13.74023,-10.98638,0.85868,2.9962,14.0657,17.2114,29.0131,0.83001,60.8661
9/29/2006,6.1692,4.21,-16.54,6.13894,223.3109,34.13281,22.1278,22.0076,43.02101,32.11193,22.02529,21.61258,20.44772,104.16213,1068.60635,2721.57604,1249.77053,2127.62069,485.47202,253.62056,775.0326,51.63096,-12.14926,39.44871,2.9828,13.8283,17.8831,29.1567,0.85504,60.6993
12/29/2006,6.4694,5.59,-14.49,6.1721,230.69298,34.2788,20.95314,22.51412,42.96224,30.55463,20.77805,20.37253,19.52211,107.75883,1062.31892,2787.36711,1313.75646,2171.4009,493.65081,236.12065,798.13432,0.05741,-13.64827,-16.69102,2.7803,12.5719,16.6034,30.7166,0.80861,60.9594
3/30/2007,6.552,5.57,-15.81,6.38461,225.82243,33.96049,21.94548,21.81614,42.26536,30.43778,21.83351,21.41857,19.89584,106.06551,1134.97062,2965.11468,1363.83992,2365.5154,504.73559,246.56847,962.48997,6.46097,-11.79324,-6.83763,2.6454,12.7704,16.892,30.3376,0.83219,64.7702
6/29/2007,7.1065,4.84,-18.81,6.54422,235.22347,36.41003,22.66633,22.38333,44.37692,32.51673,22.55985,22.0556,21.54712,111.36843,1199.43849,3081.83534,1415.62624,2472.80987,513.10993,246.89732,1003.17221,22.67546,-12.22402,9.30947,2.68,13.378,17.0698,30.6361,0.84729,65.3609
9/28/2007,7.0606,4.68,-19.67,7.04934,236.0752,32.67367,15.90053,16.38691,44.07537,32.0989,15.6317,15.22936,18.90653,123.45002,1228.02489,3255.65479,1473.05747,2670.30856,520.1962,248.81257,1139.74789,19.95957,-13.15888,5.90689,2.4973,13.7822,11.8047,28.7457,0.83366,67.8347
12/31/2007,8.0113,7.84,-18.4,7.18979,253.02573,34.13743,12.39857,12.48229,44.40875,32.38689,12.08946,11.75445,18.98404,127.04818,1264.16701,3288.80705,1526.39621,2704.17616,527.19607,245.50526,1140.54034,45.05131,-15.72744,28.91132,2.4786,13.962,9.0902,30.0589,0.8282,67.4631
3/31/2008,7.1572,8.45,-14.56,7.08179,250.62571,35.04019,16.94754,16.70457,44.5495,32.65807,16.53253,16.22994,20.36492,130.06025,1354.55869,3337.80123,1527.91685,2765.1594,526.82735,241.3351,1166.38097,28.66247,-13.43925,14.77995,2.4657,14.2724,12.2329,30.0398,0.88654,67.7747
