date,px,CF,g,erpb,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
727160,315.1,3.77692504540856,0.01709144225,0.00816524070034937,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175,0.0211175
727167,322.22,3.77692504540856,0.01709144225,0.00779835318571191,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215,0.021215
727174,327.75,3.77692504540856,0.01709144225,0.00835219935665173,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046,0.02046
727181,326.82,3.77692504540856,0.01709144225,0.00837555197922434,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047
727188,331.75,3.77692504540856,0.01709144225,0.00796837899967627,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025,0.0207025
727195,328.72,3.77692504540856,0.01709144225,0.00803261328220096,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745,0.020745
727202,321,3.69552897908553,0.016220652,0.00740244442558093,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175,0.0205175
727209,315.23,3.69552897908553,0.016220652,0.00723908939051316,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895,0.020895
727216,332.23,3.69552897908553,0.016220652,0.0071069862973587,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175,0.0204175
727223,336.07,3.69552897908553,0.016220652,0.0068278265279599,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675,0.0205675
